Left Motor,Right Motor,Left Sensor,Right Sensor
-20,20,47,575
-20,20,46,547
40,40,45,254
40,40,46,202
40,40,45,145
40,40,45,82
40,40,45,54
40,40,45,50
40,40,46,48
40,40,46,46
40,40,47,45
40,40,47,45
40,40,47,45
40,40,47,46
40,40,47,47
40,40,46,48
40,40,46,51
40,40,45,52
40,40,44,53
40,40,46,81
40,40,46,296
-20,20,46,580
-20,20,43,433
40,40,44,42
40,40,45,42
40,40,44,43
40,40,44,42
40,40,44,42
40,40,44,42
40,40,45,42
40,40,44,42
40,40,46,43
40,40,46,43
40,40,48,43
40,40,47,43
40,40,47,42
40,40,46,42
40,40,48,44
40,40,50,45
40,40,54,51
40,40,53,165
40,40,49,365
-20,20,48,435
-20,20,44,486
40,40,45,44
40,40,46,44
40,40,46,43
40,40,45,44
40,40,46,44
40,40,46,44
40,40,46,45
40,40,48,46
40,40,49,46
40,40,48,47
40,40,48,47
40,40,48,46
40,40,48,45
40,40,48,47
40,40,48,48
40,40,47,51
40,40,48,47
40,40,48,45
40,40,54,47
40,40,52,48
40,40,56,51
40,40,54,60
40,40,56,104
40,40,52,271
-20,20,49,389
-20,20,47,311
40,40,45,43
40,40,45,43
40,40,45,44
40,40,45,44
40,40,45,44
40,40,46,44
40,40,46,44
40,40,46,44
40,40,48,45
40,40,48,44
40,40,48,44
40,40,46,44
40,40,46,46
40,40,46,47
40,40,46,48
40,40,46,46
40,40,46,44
40,40,47,44
40,40,48,45
40,40,47,46
40,40,43,44
40,40,44,46
40,40,47,48
40,40,47,47
40,40,47,47
40,40,49,49
40,40,50,48
40,40,46,47
40,40,45,48
40,40,45,54
40,40,44,151
40,40,45,332
-20,20,47,437
40,40,47,130
40,40,47,76
40,40,47,55
40,40,47,50
40,40,47,48
40,40,47,47
40,40,47,46
40,40,47,46
40,40,49,47
40,40,49,48
40,40,48,50
40,40,51,58
40,40,51,75
40,40,49,65
40,40,48,190
40,40,51,290
-20,20,48,362
40,40,47,79
40,40,48,56
40,40,48,52
40,40,48,50
40,40,48,49
40,40,48,47
40,40,48,47
40,40,48,47
40,40,50,51
40,40,49,51
40,40,47,47
40,40,45,46
40,40,44,48
40,40,44,48
40,40,45,48
40,40,46,61
40,40,47,237
40,40,51,386
-20,20,49,465
-20,20,47,575
40,40,46,43
40,40,47,43
40,40,48,43
40,40,47,44
40,40,47,43
40,40,47,43
40,40,48,43
40,40,49,44
40,40,53,45
40,40,50,44
40,40,50,45
40,40,53,47
40,40,51,47
40,40,50,48
40,40,49,48
40,40,50,47
40,40,49,47
40,40,50,47
40,40,50,47
40,40,49,45
40,40,49,48
40,40,49,54
40,40,49,76
40,40,51,258
-20,20,49,434
40,40,45,189
40,40,45,132
40,40,44,62
40,40,43,51
40,40,43,49
40,40,44,48
40,40,44,47
40,40,45,46
40,40,46,47
40,40,47,51
40,40,47,58
40,40,47,133
40,40,47,261
40,40,49,396
-20,20,49,523
-20,20,46,322
40,40,46,43
40,40,46,43
40,40,46,44
40,40,46,43
40,40,47,44
40,40,47,43
40,40,47,44
40,40,48,43
40,40,51,44
40,40,49,43
40,40,51,44
40,40,52,43
40,40,51,44
40,40,48,42
40,40,47,42
40,40,46,43
40,40,47,44
40,40,47,44
40,40,48,44
40,40,50,44
40,40,51,45
40,40,49,46
40,40,50,45
40,40,50,44
40,40,49,44
40,40,50,46
40,40,53,48
40,40,52,50
40,40,51,153
40,40,50,356
-20,20,50,521
-20,20,46,533
40,40,49,43
40,40,50,43
40,40,51,43
40,40,51,43
40,40,51,43
40,40,52,43
40,40,53,43
40,40,53,44
40,40,72,45
40,40,91,46
40,40,87,45
40,40,104,46
40,40,62,46
40,40,63,46
40,40,67,47
40,40,63,46
40,40,61,46
40,40,60,48
40,40,62,46
40,40,71,48
40,40,64,52
40,40,63,277
-20,20,62,414
40,40,49,201
40,40,50,188
40,40,50,192
40,40,49,192
40,40,49,185
40,40,49,174
40,40,50,158
40,40,52,134
40,40,55,124
40,40,53,93
40,40,53,170
40,40,59,226
40,40,54,270
40,40,49,305
-20,20,50,436
40,40,47,44
40,40,47,44
40,40,48,45
40,40,48,45
40,40,48,45
40,40,48,45
40,40,48,46
40,40,49,47
40,40,50,48
40,40,49,48
40,40,48,49
40,40,49,56
40,40,50,52
40,40,48,51
40,40,47,48
40,40,48,50
40,40,51,49
40,40,49,49
40,40,48,50
40,40,49,51
40,40,50,51
40,40,49,48
40,40,51,46
40,40,54,45
40,40,179,43
20,-20,487,44
20,-20,658,42
20,-20,702,43
20,-20,617,44
20,-20,634,44
20,-20,647,43
20,-20,599,44
20,-20,536,44
40,40,56,43
40,40,54,43
40,40,53,43
40,40,53,44
40,40,53,44
40,40,51,44
40,40,50,43
40,40,49,44
40,40,48,43
40,40,47,44
40,40,48,45
40,40,49,45
40,40,54,44
40,40,126,44
40,40,175,43
40,40,300,43
20,-20,430,43
40,40,160,44
40,40,127,44
40,40,98,45
40,40,74,44
40,40,63,45
40,40,59,45
40,40,59,45
40,40,67,46
40,40,116,47
40,40,142,46
40,40,246,45
20,-20,451,45
20,-20,648,43
20,-20,640,44
20,-20,652,45
20,-20,675,46
20,-20,662,46
20,-20,647,45
20,-20,617,43
20,-20,604,43
20,-20,438,43
40,40,50,44
40,40,49,44
40,40,48,43
40,40,47,43
40,40,47,43
40,40,47,43
40,40,47,43
40,40,46,42
40,40,45,43
40,40,46,43
40,40,46,42
40,40,49,43
40,40,56,43
40,40,183,44
40,40,220,43
40,40,252,43
40,40,294,44
20,-20,450,45
40,40,229,45
40,40,191,45
40,40,161,45
40,40,136,45
40,40,113,45
40,40,95,45
40,40,84,45
40,40,66,48
40,40,52,47
40,40,50,46
40,40,48,46
40,40,50,46
40,40,50,45
40,40,49,44
40,40,52,46
40,40,66,45
40,40,51,44
40,40,49,42
40,40,60,43
40,40,84,43
40,40,71,42
40,40,193,44
40,40,219,45
40,40,262,45
40,40,273,44
20,-20,363,44
20,-20,473,43
20,-20,647,43
20,-20,635,44
20,-20,661,44
20,-20,659,44
20,-20,681,44
20,-20,677,45
20,-20,652,44
20,-20,677,45
20,-20,705,46
20,-20,697,47
20,-20,650,47
20,-20,659,48
20,-20,709,47
20,-20,665,47
40,40,242,45
40,40,213,46
40,40,186,45
40,40,169,46
40,40,157,45
40,40,154,45
40,40,152,45
40,40,87,45
40,40,85,45
40,40,61,46
40,40,98,46
40,40,109,46
40,40,93,45
40,40,61,48
40,40,90,48
40,40,129,47
40,40,70,46
40,40,62,47
40,40,64,49
40,40,81,49
40,40,59,46
40,40,72,47
40,40,57,46
40,40,50,45
40,40,52,44
40,40,54,46
40,40,53,46
40,40,50,46
40,40,51,48
40,40,49,47
40,40,50,46
40,40,49,46
40,40,48,48
40,40,51,48
40,40,53,47
40,40,48,46
40,40,49,48
40,40,49,48
40,40,48,46
40,40,47,46
40,40,49,48
40,40,48,48
40,40,47,46
40,40,50,49
40,40,50,47
40,40,51,46
40,40,49,45
40,40,50,46
40,40,50,50
40,40,50,161
-20,20,48,401
-20,20,46,551
40,40,46,44
40,40,46,44
40,40,46,45
40,40,46,45
40,40,47,45
40,40,47,47
40,40,47,47
40,40,48,48
40,40,50,49
40,40,52,51
40,40,54,50
40,40,51,50
40,40,50,51
40,40,50,56
40,40,52,58
40,40,49,52
40,40,46,50
40,40,47,56
40,40,46,246
-20,20,45,415
-20,20,46,507
40,40,48,46
40,40,48,45
40,40,48,45
40,40,48,45
40,40,48,45
40,40,48,45
40,40,48,46
40,40,48,46
40,40,50,48
40,40,47,46
40,40,47,45
40,40,46,44
40,40,47,44
40,40,46,45
40,40,46,46
40,40,46,51
40,40,46,165
40,40,45,277
-20,20,47,441
-20,20,47,415
40,40,46,44
40,40,46,45
40,40,46,44
40,40,46,44
40,40,47,44
40,40,48,44
40,40,48,45
40,40,48,44
40,40,51,45
40,40,51,44
40,40,50,44
40,40,50,44
40,40,49,43
40,40,49,44
40,40,49,43
40,40,47,44
40,40,45,43
40,40,45,43
40,40,44,43
40,40,44,43
40,40,44,43
40,40,44,44
40,40,45,47
40,40,46,93
40,40,46,363
-20,20,45,485
-20,20,43,314
40,40,42,41
40,40,42,41
40,40,42,41
40,40,42,41
40,40,43,41
40,40,42,41
40,40,43,41
40,40,43,41
40,40,45,42
40,40,44,42
40,40,44,42
40,40,44,42
